"row_id","bucket","snapnum","M","_count_*_"
2407,760107,76,107,10581511
2408,760108,76,108,9650015
2409,760109,76,109,7874454
2410,760110,76,110,6121802
2411,760111,76,111,5028928
2412,760112,76,112,3885956
2413,760113,76,113,3092886
2414,760114,76,114,2499889
2415,760115,76,115,1908556
2416,760116,76,116,1493983
2417,760117,76,117,1176588
2418,760118,76,118,895843
2419,760119,76,119,694232
2420,760120,76,120,528542
2421,760121,76,121,399414
2422,760122,76,122,301214
2423,760123,76,123,225338
2424,760124,76,124,166617
2425,760125,76,125,122140
2426,760126,76,126,87880
2427,760127,76,127,62450
2428,760128,76,128,43627
2429,760129,76,129,29995
2430,760130,76,130,20256
2431,760131,76,131,13162
2432,760132,76,132,8450
2433,760133,76,133,5270
2434,760134,76,134,3143
2435,760135,76,135,1758
2436,760136,76,136,931
2437,760137,76,137,464
2438,760138,76,138,247
2439,760139,76,139,105
2440,760140,76,140,43
5232,760141,76,141,9
2441,760142,76,142,8
5324,760145,76,145,1
2442,770094,77,94,368259
2443,770095,77,95,15315
2444,770096,77,96,487256
2445,770097,77,97,643105
2446,770098,77,98,787403
2447,770099,77,99,997491
2448,770100,77,100,2437913
2449,770101,77,101,3709999
2450,770102,77,102,8670937
2451,770103,77,103,12214744
2452,770104,77,104,19862146
2453,770105,77,105,14414933
2454,770106,77,106,13859391
2455,770107,77,107,10698903
2456,770108,77,108,9773114
2457,770109,77,109,7986321
2458,770110,77,110,6214466
2459,770111,77,111,5112279
2460,770112,77,112,3963450
2461,770113,77,113,3156459
2462,770114,77,114,2558240
2463,770115,77,115,1957831
2464,770116,77,116,1535799
2465,770117,77,117,1211923
2466,770118,77,118,925832
2467,770119,77,119,719402
2468,770120,77,120,550285
2469,770121,77,121,417024
2470,770122,77,122,316065
2471,770123,77,123,237145
2472,770124,77,124,176579
2473,770125,77,125,129930
2474,770126,77,126,94270
2475,770127,77,127,67155
2476,770128,77,128,47649
2477,770129,77,129,32840
2478,770130,77,130,22383
2479,770131,77,131,14874
2480,770132,77,132,9510
2481,770133,77,133,6039
2482,770134,77,134,3672
2483,770135,77,135,2065
2484,770136,77,136,1123
2485,770137,77,137,592
2486,770138,77,138,299
2487,770139,77,139,154
2488,770140,77,140,56
2489,770141,77,141,17
2490,770142,77,142,9
5294,770143,77,143,2
5233,770145,77,145,1
2491,780094,78,94,355247
2492,780095,78,95,14695
2493,780096,78,96,470370
2494,780097,78,97,624563
2495,780098,78,98,763565
2496,780099,78,99,970447
2497,780100,78,100,2383626
2498,780101,78,101,3652735
2499,780102,78,102,8620092
2500,780103,78,103,12245090
2501,780104,78,104,20010509
2502,780105,78,105,14529098
2503,780106,78,106,13981616
2504,780107,78,107,10799161
2505,780108,78,108,9878159
2506,780109,78,109,8088840
2507,780110,78,110,6293839
2508,780111,78,111,5189609
2509,780112,78,112,4027332
2510,780113,78,113,3213948
2511,780114,78,114,2609474
2512,780115,78,115,2001824
2513,780116,78,116,1574544
2514,780117,78,117,1245846
2515,780118,78,118,952909
2516,780119,78,119,743856
2517,780120,78,120,570057
2518,780121,78,121,433705
2519,780122,78,122,330040
2520,780123,78,123,248850
2521,780124,78,124,185775
2522,780125,78,125,137669
2523,780126,78,126,100774
2524,780127,78,127,71562
2525,780128,78,128,51646
2526,780129,78,129,35892
2527,780130,78,130,24483
2528,780131,78,131,16531
2529,780132,78,132,10689
2530,780133,78,133,6870
2531,780134,78,134,4211
2532,780135,78,135,2440
2533,780136,78,136,1357
2534,780137,78,137,705
2535,780138,78,138,374
2536,780139,78,139,183
2537,780140,78,140,87
2538,780141,78,141,24
2539,780142,78,142,10
5176,780143,78,143,4
5325,780145,78,145,1
2540,790094,79,94,343181
2541,790095,79,95,14083
2542,790096,79,96,455006
2543,790097,79,97,605939
2544,790098,79,98,741623
2545,790099,79,99,946292
2546,790100,79,100,2331627
2547,790101,79,101,3597982
2548,790102,79,102,8561662
2549,790103,79,103,12257643
2550,790104,79,104,20137738
2551,790105,79,105,14635270
2552,790106,79,106,14091239
2553,790107,79,107,10898349
2554,790108,79,108,9973345
2555,790109,79,109,8176943
2556,790110,79,110,6372270
2557,790111,79,111,5258397
2558,790112,79,112,4091005
2559,790113,79,113,3270347
2560,790114,79,114,2659875
2561,790115,79,115,2043498
2562,790116,79,116,1612599
2563,790117,79,117,1278049
2564,790118,79,118,981640
2565,790119,79,119,766952
2566,790120,79,120,590060
2567,790121,79,121,450365
2568,790122,79,122,344373
2569,790123,79,123,260445
2570,790124,79,124,195339
2571,790125,79,125,145687
2572,790126,79,126,106980
2573,790127,79,127,76874
2574,790128,79,128,55290
2575,790129,79,129,39087
2576,790130,79,130,26776
2577,790131,79,131,18303
2578,790132,79,132,12005
2579,790133,79,133,7732
2580,790134,79,134,4809
2581,790135,79,135,2812
2582,790136,79,136,1661
2583,790137,79,137,846
2584,790138,79,138,467
2585,790139,79,139,221
2586,790140,79,140,116
2587,790141,79,141,37
2588,790142,79,142,9
2589,790143,79,143,4
5266,790144,79,144,1
5234,790145,79,145,1
2590,800094,80,94,330570
2591,800095,80,95,13648
2592,800096,80,96,439327
2593,800097,80,97,584239
2594,800098,80,98,718846
2595,800099,80,99,920583
2596,800100,80,100,2274508
2597,800101,80,101,3530875
2598,800102,80,102,8472347
2599,800103,80,103,12240750
2600,800104,80,104,20232283
2601,800105,80,105,14732744
2602,800106,80,106,14199619
2603,800107,80,107,10985925
2604,800108,80,108,10070486
2605,800109,80,109,8265992
2606,800110,80,110,6448341
2607,800111,80,111,5330216
2608,800112,80,112,4152272
2609,800113,80,113,3325288
2610,800114,80,114,2706673
2611,800115,80,115,2084999
2612,800116,80,116,1648334
2613,800117,80,117,1310639
2614,800118,80,118,1007181
2615,800119,80,119,789970
2616,800120,80,120,609447
2617,800121,80,121,466416
2618,800122,80,122,358390
2619,800123,80,123,271722
2620,800124,80,124,204782
2621,800125,80,125,153568
2622,800126,80,126,113389
2623,800127,80,127,81986
2624,800128,80,128,59230
2625,800129,80,129,42373
2626,800130,80,130,29035
2627,800131,80,131,20059
2628,800132,80,132,13343
2629,800133,80,133,8802
2630,800134,80,134,5384
2631,800135,80,135,3300
2632,800136,80,136,1973
2633,800137,80,137,1028
2634,800138,80,138,569
2635,800139,80,139,284
2636,800140,80,140,134
2637,800141,80,141,58
2638,800142,80,142,11
2639,800143,80,143,8
5295,800144,80,144,1
5177,800145,80,145,1
2640,810094,81,94,319823
2641,810095,81,95,13377
2642,810096,81,96,426753
2643,810097,81,97,566045
2644,810098,81,98,697175
2645,810099,81,99,893997
2646,810100,81,100,2220552
2647,810101,81,101,3468048
2648,810102,81,102,8397706
2649,810103,81,103,12235455
2650,810104,81,104,20336817
2651,810105,81,105,14825005
2652,810106,81,106,14291401
2653,810107,81,107,11064255
2654,810108,81,108,10151421
2655,810109,81,109,8339751
2656,810110,81,110,6515419
2657,810111,81,111,5392723
2658,810112,81,112,4206615
2659,810113,81,113,3375309
2660,810114,81,114,2754355
2661,810115,81,115,2122464
2662,810116,81,116,1683110
2663,810117,81,117,1340955
2664,810118,81,118,1032674
2665,810119,81,119,811487
2666,810120,81,120,628562
2667,810121,81,121,483192
2668,810122,81,122,371283
2669,810123,81,123,283401
2670,810124,81,124,214465
2671,810125,81,125,161019
2672,810126,81,126,119540
2673,810127,81,127,87019
2674,810128,81,128,63524
2675,810129,81,129,45643
2676,810130,81,130,31555
2677,810131,81,131,21951
2678,810132,81,132,14665
2679,810133,81,133,9779
2680,810134,81,134,6237
2681,810135,81,135,3793
2682,810136,81,136,2251
2683,810137,81,137,1226
2684,810138,81,138,689
2685,810139,81,139,345
2686,810140,81,140,165
2687,810141,81,141,67
2688,810142,81,142,27
2689,810143,81,143,9
5267,810144,81,144,2
5268,810145,81,145,1
2690,820094,82,94,308257
2691,820095,82,95,12572
2692,820096,82,96,410457
2693,820097,82,97,548354
2694,820098,82,98,677542
2695,820099,82,99,870980
2696,820100,82,100,2173391
2697,820101,82,101,3409021
2698,820102,82,102,8317423
2699,820103,82,103,12220381
2700,820104,82,104,20417738
2701,820105,82,105,14901513
2702,820106,82,106,14364927
2703,820107,82,107,11129687
2704,820108,82,108,10214405
2705,820109,82,109,8406841
2706,820110,82,110,6571540
2707,820111,82,111,5445784
2708,820112,82,112,4256482
2709,820113,82,113,3416077
2710,820114,82,114,2795578
2711,820115,82,115,2157692
2712,820116,82,116,1711874
2713,820117,82,117,1369398
2714,820118,82,118,1056240
2715,820119,82,119,831436
2716,820120,82,120,646077
2717,820121,82,121,498721
2718,820122,82,122,383809
2719,820123,82,123,293855
2720,820124,82,124,223260
2721,820125,82,125,168832
