"row_id","bucket","snapnum","M","_count_*_"
110,80134,8,134,10374
111,80135,8,135,5107
112,80136,8,136,2270
113,80137,8,137,923
114,80138,8,138,345
115,80139,8,139,119
116,80140,8,140,40
117,80141,8,141,10
2790,80142,8,142,2
118,90117,9,117,11975553
119,90118,9,118,10726078
120,90119,9,119,8476737
121,90120,9,120,6305699
122,90121,9,121,4859408
123,90122,9,122,3538187
124,90123,9,123,2714477
125,90124,9,124,1997910
126,90125,9,125,1421113
127,90126,9,126,1004699
128,90127,9,127,696511
129,90128,9,128,479250
130,90129,9,129,327481
131,90130,9,130,212922
132,90131,9,131,136841
133,90132,9,132,85034
134,90133,9,133,51074
135,90134,9,134,29720
136,90135,9,135,16555
137,90136,9,136,8606
138,90137,9,137,4354
139,90138,9,138,2036
140,90139,9,139,890
141,90140,9,140,323
142,90141,9,141,103
143,90142,9,142,43
144,90143,9,143,10
2702,90144,9,144,3
145,100117,10,117,15916147
146,100118,10,118,14918870
147,100119,10,119,12355995
148,100120,10,120,9630226
149,100121,10,121,7756160
150,100122,10,122,5924478
151,100123,10,123,4765966
152,100124,10,124,3694702
153,100125,10,125,2779468
154,100126,10,126,2092224
155,100127,10,127,1554077
156,100128,10,128,1145760
157,100129,10,129,845946
158,100130,10,130,604365
159,100131,10,131,426750
160,100132,10,132,298322
161,100133,10,133,201930
162,100134,10,134,134928
163,100135,10,135,87156
164,100136,10,136,47054
165,100137,10,137,27727
166,100138,10,138,15921
167,100139,10,139,8645
168,100140,10,140,4414
169,100141,10,141,2241
170,100142,10,142,877
171,100143,10,143,369
172,100144,10,144,136
173,100145,10,145,37
174,100146,10,146,16
2791,100147,10,147,3
175,110117,11,117,17509718
176,110118,11,118,17062626
177,110119,11,119,14541724
178,110120,11,120,11598610
179,110121,11,121,9529772
180,110122,11,122,7406829
181,110123,11,123,6086258
182,110124,11,124,4837153
183,110125,11,125,3745962
184,110126,11,126,2905133
185,110127,11,127,2228753
186,110128,11,128,1707561
187,110129,11,129,1318160
188,110130,11,130,980643
189,110131,11,131,731107
190,110132,11,132,542837
191,110133,11,133,390817
192,110134,11,134,280153
193,110135,11,135,195427
194,110136,11,136,127381
195,110137,11,137,83873
196,110138,11,138,53042
197,110139,11,139,32926
198,110140,11,140,19520
199,110141,11,141,11004
