"row_id","bucket","snapnum","M","_count_*_"
88,40104,4,104,7
89,40105,4,105,3
90,50082,5,82,22407
91,50083,5,83,740
92,50084,5,84,30311
93,50085,5,85,35049
94,50086,5,86,35733
95,50087,5,87,36921
96,50088,5,88,67326
97,50089,5,89,63808
98,50090,5,90,92263
99,50091,5,91,81792
100,50092,5,92,76852
101,50093,5,93,58780
102,50094,5,94,29130
103,50095,5,95,21165
104,50096,5,96,11804
105,50097,5,97,6353
106,50098,5,98,3727
107,50099,5,99,2057
108,50100,5,100,1035
109,50101,5,101,556
110,50102,5,102,243
111,50103,5,103,112
112,50104,5,104,59
113,50105,5,105,26
6733,50106,5,106,8
6815,50107,5,107,1
114,60082,6,82,42547
115,60083,6,83,1748
116,60084,6,84,57641
117,60085,6,85,66157
118,60086,6,86,67693
119,60087,6,87,70845
120,60088,6,88,128542
121,60089,6,89,124215
122,60090,6,90,182537
123,60091,6,91,166443
124,60092,6,92,163084
125,60093,6,93,129982
126,60094,6,94,67648
127,60095,6,95,51149
128,60096,6,96,29898
129,60097,6,97,17033
130,60098,6,98,10450
131,60099,6,99,5785
132,60100,6,100,3287
133,60101,6,101,1750
134,60102,6,102,906
135,60103,6,103,461
136,60104,6,104,206
137,60105,6,105,104
138,60106,6,106,45
139,60107,6,107,20
6734,60108,6,108,4
140,70082,7,82,71514
141,70083,7,83,3052
142,70084,7,84,95935
143,70085,7,85,108434
144,70086,7,86,110419
145,70087,7,87,117077
146,70088,7,88,213130
147,70089,7,89,212706
148,70090,7,90,323055
149,70091,7,91,301020
150,70092,7,92,303651
151,70093,7,93,250091
152,70094,7,94,135864
153,70095,7,95,106228
154,70096,7,96,64198
155,70097,7,97,38092
156,70098,7,98,24738
157,70099,7,99,14391
158,70100,7,100,8324
159,70101,7,101,4729
160,70102,7,102,2514
161,70103,7,103,1407
162,70104,7,104,726
163,70105,7,105,325
164,70106,7,106,174
165,70107,7,107,74
166,70108,7,108,40
167,70109,7,109,7
6961,70110,7,110,2
168,80082,8,82,125603
169,80083,8,83,5818
170,80084,8,84,170894
171,80085,8,85,196993
172,80086,8,86,199735
173,80087,8,87,216370
174,80088,8,88,395439
175,80089,8,89,401616
176,80090,8,90,621817
